Order_ID,Order_Date,Product_Category,Customer_Location,Marketing_Channel,Supplier_ID,Price,Customer_Rating
O100027,2025-05-01,Electronics,Kolkata,Social Media,Supplier_15,3424.64,3
O100028,2025-05-01,Electronics,Delhi,Social Media,Supplier_14,1402.55,5
O100029,2025-05-01,Books,Kolkata,Social Media,Supplier_13,3950.77,5
O100030,2025-05-01,Books,Hyderabad,Search Engine,Supplier_9,4788.66,4
O100031,2025-05-01,Clothing,Chennai,Direct,Supplier_15,4517.3,4
O100032,2025-05-01,Home & Kitchen,Bangalore,Email,Supplier_14,663.27,4
O100033,2025-05-01,Home & Kitchen,Hyderabad,Search Engine,Supplier_4,1910.81,5
O100034,2025-05-01,Toys,Chennai,Referral,Supplier_11,1885.18,5
O100035,2025-05-01,Toys,Chennai,Direct,Supplier_2,699.25,5
O100036,2025-05-01,Toys,Kolkata,Direct,Supplier_16,580.82,3
O100037,2025-05-01,Books,Mumbai,Social Media,Supplier_19,1985.96,3
O100038,2025-05-01,Home & Kitchen,Mumbai,Search Engine,Supplier_16,4961.15,3
O100039,2025-05-01,Home & Kitchen,Kolkata,Referral,Supplier_7,2887.82,1
O100040,2025-05-01,Electronics,Kolkata,Social Media,Supplier_11,3146.73,5
O100041,2025-05-01,Books,Delhi,Social Media,Supplier_12,2407.99,5
O100042,2025-05-01,Beauty,Delhi,Email,Supplier_4,3345.42,2
O100043,2025-05-01,Books,Bangalore,Direct,Supplier_16,4787.64,2
O100044,2025-05-01,Beauty,Bangalore,Referral,Supplier_16,2984.62,1
O100045,2025-05-01,Electronics,Bangalore,Direct,Supplier_7,418.69,2
O100046,2025-05-01,Clothing,Bangalore,Search Engine,Supplier_13,2515.16,3
O100047,2025-05-01,Home & Kitchen,Chennai,Email,Supplier_5,4964.48,1
O100048,2025-05-01,Electronics,Chennai,Social Media,Supplier_1,1998.27,1
O100049,2025-05-01,Home & Kitchen,Delhi,Email,Supplier_5,3010.02,1
O100050,2025-05-01,Toys,Mumbai,Social Media,Supplier_14,622.52,4
O100051,2025-05-01,Clothing,Kolkata,Email,Supplier_11,791.78,2
O100052,2025-05-01,Clothing,Mumbai,Social Media,Supplier_2,4385.94,5
O100053,2025-05-01,Electronics,Hyderabad,Direct,Supplier_18,1571.69,4
O100054,2025-05-01,Clothing,Chennai,Direct,Supplier_15,1596.71,3
O100055,2025-05-01,Beauty,Bangalore,Direct,Supplier_14,1997.34,4
O100056,2025-05-01,Clothing,Bangalore,Direct,Supplier_13,4835.75,3
O100057,2025-05-01,Home & Kitchen,Hyderabad,Email,Supplier_2,513.51,5
O100058,2025-05-01,Home & Kitchen,Mumbai,Social Media,Supplier_19,4111.94,5
O100059,2025-05-01,Home & Kitchen,Bangalore,Direct,Supplier_8,1773.63,2
O100060,2025-05-01,Home & Kitchen,Mumbai,Email,Supplier_17,4262.39,4
O100061,2025-05-01,Beauty,Kolkata,Social Media,Supplier_15,4959.6,5
O100062,2025-05-01,Books,Hyderabad,Email,Supplier_20,1808.47,3
O100063,2025-05-01,Toys,Mumbai,Direct,Supplier_14,733.85,5
O100064,2025-05-01,Electronics,Kolkata,Search Engine,Supplier_3,807.44,2
O100065,2025-05-01,Home & Kitchen,Mumbai,Email,Supplier_17,3817.83,3
O100066,2025-05-01,Clothing,Mumbai,Direct,Supplier_3,810.12,1
O100067,2025-05-01,Home & Kitchen,Bangalore,Referral,Supplier_13,1376.07,2
O100068,2025-05-01,Clothing,Delhi,Social Media,Supplier_18,1101.55,2
O100069,2025-05-01,Toys,Chennai,Direct,Supplier_1,1842.82,1
O100070,2025-05-01,Toys,Mumbai,Referral,Supplier_7,464.4,5
O100071,2025-05-01,Toys,Mumbai,Email,Supplier_5,4298.04,2
O100072,2025-05-01,Clothing,Mumbai,Email,Supplier_2,4314.72,1
O100073,2025-05-01,Home & Kitchen,Delhi,Referral,Supplier_17,2123.37,1
O100074,2025-05-01,Toys,Kolkata,Referral,Supplier_10,3099.23,2
O100075,2025-05-01,Beauty,Hyderabad,Social Media,Supplier_4,3245.56,4
O100076,2025-05-01,Clothing,Bangalore,Email,Supplier_9,3771.36,2
O100077,2025-05-01,Clothing,Delhi,Referral,Supplier_11,2651.38,4
O100078,2025-05-01,Home & Kitchen,Kolkata,Search Engine,Supplier_12,2600.65,5
O100079,2025-05-01,Clothing,Mumbai,Search Engine,Supplier_12,3193.39,1
O100080,2025-05-01,Clothing,Kolkata,Referral,Supplier_18,3544.94,3
O100081,2025-05-01,Toys,Delhi,Social Media,Supplier_4,1798.78,2
O100082,2025-05-01,Home & Kitchen,Delhi,Email,Supplier_9,1718.82,3
O100083,2025-05-01,Toys,Delhi,Search Engine,Supplier_8,1421.62,5
O100084,2025-05-01,Toys,Hyderabad,Referral,Supplier_19,2789.35,2
O100085,2025-05-01,Home & Kitchen,Chennai,Referral,Supplier_13,1864.76,3
O100086,2025-05-01,Electronics,Bangalore,Direct,Supplier_2,2747.54,5
O100087,2025-05-01,Toys,Hyderabad,Referral,Supplier_19,2089.33,4
O100088,2025-05-01,Beauty,Hyderabad,Social Media,Supplier_14,4200.0,5
O100089,2025-05-01,Beauty,Chennai,Search Engine,Supplier_5,458.34,2
O100090,2025-05-01,Clothing,Hyderabad,Direct,Supplier_10,2903.83,2
O100091,2025-05-01,Beauty,Delhi,Search Engine,Supplier_17,2920.56,2
O100092,2025-05-01,Clothing,Delhi,Search Engine,Supplier_20,1980.21,5
O100093,2025-05-01,Electronics,Kolkata,Social Media,Supplier_16,2163.0,2
O100094,2025-05-01,Home & Kitchen,Mumbai,Referral,Supplier_17,4020.64,5
O100095,2025-05-01,Home & Kitchen,Hyderabad,Social Media,Supplier_1,1475.3,1
O100096,2025-05-01,Home & Kitchen,Mumbai,Referral,Supplier_15,4369.88,1
O100097,2025-05-01,Beauty,Bangalore,Direct,Supplier_17,4492.08,1
O100098,2025-05-01,Electronics,Delhi,Social Media,Supplier_11,3288.03,3
O100099,2025-05-01,Beauty,Kolkata,Social Media,Supplier_5,3887.0,1
O100100,2025-05-01,Beauty,Bangalore,Email,Supplier_4,3103.44,1
O100101,2025-05-01,Electronics,Kolkata,Social Media,Supplier_9,2673.77,5
O100102,2025-05-01,Electronics,Chennai,Email,Supplier_16,4836.72,5
O100103,2025-05-01,Electronics,Delhi,Referral,Supplier_12,1485.01,2
O100104,2025-05-01,Electronics,Bangalore,Referral,Supplier_18,855.34,2
O100105,2025-05-01,Home & Kitchen,Chennai,Referral,Supplier_3,1508.68,2
O100106,2025-05-01,Books,Bangalore,Email,Supplier_15,3111.67,5
O100107,2025-05-01,Books,Kolkata,Referral,Supplier_18,1007.4,5
O100108,2025-05-01,Electronics,Chennai,Search Engine,Supplier_12,4553.19,1
O100109,2025-05-01,Books,Chennai,Social Media,Supplier_13,2114.02,4
O100110,2025-05-01,Books,Delhi,Email,Supplier_1,4264.82,5
O100111,2025-05-01,Electronics,Mumbai,Referral,Supplier_4,1321.26,4
O100112,2025-05-01,Books,Kolkata,Search Engine,Supplier_8,1634.52,5
O100113,2025-05-01,Beauty,Kolkata,Social Media,Supplier_19,390.19,5
O100114,2025-05-01,Clothing,Chennai,Social Media,Supplier_5,1363.06,3
O100115,2025-05-01,Clothing,Chennai,Referral,Supplier_11,2502.54,4
O100116,2025-05-01,Electronics,Delhi,Search Engine,Supplier_17,4736.07,3
O100117,2025-05-01,Home & Kitchen,Mumbai,Email,Supplier_17,2005.62,1
O100118,2025-05-01,Electronics,Kolkata,Referral,Supplier_2,3234.75,3
O100119,2025-05-01,Home & Kitchen,Hyderabad,Social Media,Supplier_1,2195.78,3
O100120,2025-05-01,Clothing,Hyderabad,Social Media,Supplier_4,329.28,1
O100121,2025-05-01,Electronics,Mumbai,Social Media,Supplier_9,2567.31,4
O100122,2025-05-01,Toys,Bangalore,Referral,Supplier_2,422.98,2
O100123,2025-05-01,Beauty,Delhi,Direct,Supplier_3,4430.13,5
O100124,2025-05-01,Books,Mumbai,Direct,Supplier_6,3789.88,4
O100125,2025-05-01,Home & Kitchen,Hyderabad,Direct,Supplier_13,1955.39,1
O100126,2025-05-01,Toys,Chennai,Search Engine,Supplier_15,3237.07,3
O100127,2025-05-01,Books,Hyderabad,Referral,Supplier_11,648.94,2
O100128,2025-05-01,Books,Chennai,Social Media,Supplier_10,3542.52,3
O100129,2025-05-01,Electronics,Delhi,Search Engine,Supplier_3,4131.39,5
O100130,2025-05-01,Books,Chennai,Direct,Supplier_20,4126.55,1
O100131,2025-05-01,Beauty,Mumbai,Email,Supplier_9,1492.96,2
O100132,2025-05-01,Toys,Chennai,Search Engine,Supplier_10,1392.36,4
O100133,2025-05-01,Books,Bangalore,Search Engine,Supplier_12,2654.85,4
O100134,2025-05-01,Electronics,Mumbai,Referral,Supplier_8,4842.08,1
O100135,2025-05-01,Beauty,Delhi,Search Engine,Supplier_17,4610.56,1
O100136,2025-05-01,Clothing,Mumbai,Referral,Supplier_5,1862.23,3
O100137,2025-05-01,Toys,Bangalore,Email,Supplier_8,3921.16,2
O100138,2025-05-01,Books,Delhi,Social Media,Supplier_18,4614.46,5
O100139,2025-05-01,Electronics,Hyderabad,Social Media,Supplier_11,1378.54,1
O100140,2025-05-01,Clothing,Bangalore,Direct,Supplier_10,4168.45,2
O100141,2025-05-01,Clothing,Delhi,Direct,Supplier_15,1412.69,1
O100142,2025-05-01,Home & Kitchen,Chennai,Email,Supplier_6,1782.08,1
O100143,2025-05-01,Beauty,Mumbai,Social Media,Supplier_19,1074.22,4
O100144,2025-05-01,Books,Delhi,Direct,Supplier_17,2584.69,2
O100145,2025-05-01,Electronics,Mumbai,Search Engine,Supplier_10,4232.22,4
O100146,2025-05-01,Home & Kitchen,Chennai,Referral,Supplier_5,2687.46,4
O100147,2025-05-01,Beauty,Delhi,Direct,Supplier_16,704.86,2
O100148,2025-05-01,Home & Kitchen,Hyderabad,Email,Supplier_12,1333.7,4
O100149,2025-05-01,Toys,Bangalore,Social Media,Supplier_5,2858.02,3
O100150,2025-05-01,Beauty,Delhi,Email,Supplier_1,2957.62,5
O100151,2025-05-01,Beauty,Chennai,Referral,Supplier_2,2926.84,5
O100152,2025-05-01,Books,Delhi,Referral,Supplier_5,477.32,3
O100153,2025-05-01,Beauty,Mumbai,Email,Supplier_19,3793.11,1
O100154,2025-05-01,Home & Kitchen,Kolkata,Direct,Supplier_15,4556.2,4
O100155,2025-05-01,Beauty,Delhi,Direct,Supplier_1,2601.54,5
O100156,2025-05-01,Books,Hyderabad,Social Media,Supplier_11,3622.26,2
O100157,2025-05-01,Books,Delhi,Social Media,Supplier_18,4578.68,1
O100158,2025-05-01,Toys,Bangalore,Search Engine,Supplier_3,3248.85,5
O100159,2025-05-01,Home & Kitchen,Delhi,Search Engine,Supplier_9,3404.2,4
O100160,2025-05-01,Clothing,Kolkata,Social Media,Supplier_4,3634.88,5
O100161,2025-05-01,Clothing,Mumbai,Search Engine,Supplier_13,1376.46,4
O100162,2025-05-01,Beauty,Delhi,Email,Supplier_9,2955.12,1
O100163,2025-05-01,Toys,Hyderabad,Direct,Supplier_3,4226.66,3
O100164,2025-05-01,Electronics,Chennai,Search Engine,Supplier_16,1551.2,4
O100165,2025-05-01,Beauty,Delhi,Search Engine,Supplier_8,4496.14,4
O100166,2025-05-01,Toys,Delhi,Email,Supplier_7,3139.87,1
O100167,2025-05-01,Home & Kitchen,Bangalore,Referral,Supplier_17,2173.56,1
O100168,2025-05-01,Home & Kitchen,Hyderabad,Social Media,Supplier_16,3153.6,2
O100169,2025-05-01,Home & Kitchen,Kolkata,Email,Supplier_18,2069.11,1
O100170,2025-05-01,Home & Kitchen,Chennai,Referral,Supplier_16,4206.37,5
O100171,2025-05-01,Home & Kitchen,Mumbai,Email,Supplier_15,2463.36,4
O100172,2025-05-01,Toys,Delhi,Direct,Supplier_2,4515.95,3
O100173,2025-05-01,Toys,Kolkata,Email,Supplier_20,2598.06,1
O100174,2025-05-01,Books,Chennai,Email,Supplier_4,3335.81,4
O100175,2025-05-01,Clothing,Mumbai,Direct,Supplier_5,4988.95,3
O100176,2025-05-01,Home & Kitchen,Kolkata,Social Media,Supplier_7,820.13,2
O100177,2025-05-01,Electronics,Hyderabad,Referral,Supplier_15,3709.97,5
O100178,2025-05-01,Toys,Hyderabad,Search Engine,Supplier_17,780.47,2
O100179,2025-05-01,Electronics,Chennai,Social Media,Supplier_10,4210.45,1
O100180,2025-05-01,Electronics,Mumbai,Email,Supplier_20,3022.62,5
O100181,2025-05-01,Electronics,Hyderabad,Search Engine,Supplier_9,4696.98,2
O100182,2025-05-01,Books,Chennai,Direct,Supplier_16,4343.19,4
O100183,2025-05-01,Toys,Hyderabad,Social Media,Supplier_3,466.87,1
O100184,2025-05-01,Electronics,Hyderabad,Referral,Supplier_9,772.78,2
O100185,2025-05-01,Home & Kitchen,Kolkata,Social Media,Supplier_8,3045.74,5
O100186,2025-05-01,Beauty,Kolkata,Social Media,Supplier_7,2639.74,5
O100187,2025-05-01,Electronics,Hyderabad,Search Engine,Supplier_17,925.97,3
O100188,2025-05-01,Books,Bangalore,Direct,Supplier_5,733.86,5
O100189,2025-05-01,Toys,Kolkata,Direct,Supplier_7,2863.55,5
O100190,2025-05-01,Books,Mumbai,Social Media,Supplier_13,339.72,1
O100191,2025-05-01,Electronics,Chennai,Direct,Supplier_18,4381.3,5
O100192,2025-05-01,Toys,Chennai,Search Engine,Supplier_14,4054.71,3
O100193,2025-05-01,Beauty,Mumbai,Search Engine,Supplier_18,3948.31,5
O100194,2025-05-01,Electronics,Mumbai,Referral,Supplier_3,178.39,3
O100195,2025-05-01,Books,Mumbai,Direct,Supplier_17,333.44,4
O100196,2025-05-01,Clothing,Mumbai,Referral,Supplier_19,2794.21,3
O100197,2025-05-01,Home & Kitchen,Delhi,Email,Supplier_7,4972.69,1
O100198,2025-05-01,Books,Chennai,Search Engine,Supplier_4,1777.35,2
O100199,2025-05-01,Toys,Delhi,Social Media,Supplier_15,1787.44,2
O100200,2025-05-01,Electronics,Hyderabad,Search Engine,Supplier_8,757.96,4
O100201,2025-05-01,Home & Kitchen,Hyderabad,Email,Supplier_16,3404.25,1
O100202,2025-05-01,Electronics,Chennai,Social Media,Supplier_1,3268.72,4
O100203,2025-05-01,Toys,Hyderabad,Direct,Supplier_16,596.48,4
O100204,2025-05-01,Electronics,Mumbai,Direct,Supplier_2,2390.32,5
O100205,2025-05-01,Clothing,Delhi,Search Engine,Supplier_2,3368.67,5
O100206,2025-05-01,Home & Kitchen,Mumbai,Social Media,Supplier_8,2518.23,1
O100207,2025-05-01,Home & Kitchen,Hyderabad,Social Media,Supplier_12,3404.38,2
O100208,2025-05-01,Toys,Kolkata,Referral,Supplier_11,4099.72,3
O100209,2025-05-01,Clothing,Delhi,Email,Supplier_6,3460.5,5
O100210,2025-05-01,Books,Mumbai,Direct,Supplier_19,3118.96,1
O100211,2025-05-01,Electronics,Chennai,Search Engine,Supplier_18,4282.59,1
O100212,2025-05-01,Beauty,Mumbai,Social Media,Supplier_5,4512.88,2
O100213,2025-05-01,Electronics,Kolkata,Direct,Supplier_15,2005.54,1
O100214,2025-05-01,Electronics,Hyderabad,Search Engine,Supplier_8,948.92,1
O100215,2025-05-01,Books,Delhi,Direct,Supplier_6,4107.52,2
O100216,2025-05-01,Electronics,Chennai,Search Engine,Supplier_12,1147.39,5
O100217,2025-05-01,Clothing,Delhi,Direct,Supplier_19,4651.86,2
O100218,2025-05-01,Clothing,Chennai,Referral,Supplier_12,212.1,4
O100219,2025-05-01,Home & Kitchen,Delhi,Email,Supplier_12,4614.23,5
O100220,2025-05-01,Toys,Hyderabad,Direct,Supplier_9,2987.0,4
O100221,2025-05-01,Beauty,Chennai,Email,Supplier_10,3896.24,1
O100222,2025-05-01,Electronics,Bangalore,Direct,Supplier_17,2052.61,4
O100223,2025-05-01,Electronics,Delhi,Social Media,Supplier_18,4959.41,2
O100224,2025-05-01,Books,Delhi,Referral,Supplier_16,1215.0,2
O100225,2025-05-01,Toys,Mumbai,Referral,Supplier_4,1395.28,3
O100226,2025-05-01,Clothing,Chennai,Email,Supplier_18,352.02,1
O100227,2025-05-01,Beauty,Kolkata,Social Media,Supplier_3,4708.32,2
O100228,2025-05-01,Home & Kitchen,Bangalore,Search Engine,Supplier_16,2334.54,5
O100229,2025-05-01,Clothing,Hyderabad,Referral,Supplier_14,3406.78,2
O100230,2025-05-01,Toys,Mumbai,Social Media,Supplier_9,3468.46,5
O100231,2025-05-01,Home & Kitchen,Bangalore,Social Media,Supplier_6,4385.06,1
O100232,2025-05-01,Books,Chennai,Email,Supplier_4,3358.13,3
O100233,2025-05-01,Books,Bangalore,Social Media,Supplier_2,2853.9,3
O100234,2025-05-01,Electronics,Delhi,Social Media,Supplier_10,3580.56,4
O100235,2025-05-01,Toys,Delhi,Search Engine,Supplier_11,3779.76,2
O100236,2025-05-01,Beauty,Mumbai,Email,Supplier_7,1011.05,1
O100237,2025-05-01,Home & Kitchen,Chennai,Email,Supplier_5,637.37,4
O100238,2025-05-01,Clothing,Chennai,Social Media,Supplier_4,466.76,1
O100239,2025-05-01,Toys,Bangalore,Search Engine,Supplier_6,1932.86,1
O100240,2025-05-01,Toys,Mumbai,Direct,Supplier_2,2540.2,4
O100241,2025-05-01,Books,Chennai,Referral,Supplier_2,3116.68,1
O100242,2025-05-01,Electronics,Kolkata,Email,Supplier_16,4794.37,4
O100243,2025-05-01,Electronics,Kolkata,Search Engine,Supplier_13,1720.86,2
O100244,2025-05-01,Home & Kitchen,Delhi,Search Engine,Supplier_7,3828.28,4
O100245,2025-05-01,Books,Bangalore,Social Media,Supplier_5,2703.65,2
O100246,2025-05-01,Toys,Hyderabad,Referral,Supplier_17,1178.44,3
O100247,2025-05-01,Beauty,Delhi,Email,Supplier_13,3115.0,4
O100248,2025-05-01,Books,Mumbai,Direct,Supplier_15,4839.16,3
O100249,2025-05-01,Home & Kitchen,Chennai,Social Media,Supplier_3,709.11,4
O100250,2025-05-01,Home & Kitchen,Delhi,Email,Supplier_4,2585.67,1
O100251,2025-05-01,Books,Hyderabad,Email,Supplier_15,352.88,3
O100252,2025-05-01,Home & Kitchen,Hyderabad,Search Engine,Supplier_18,1673.96,5
O100253,2025-05-01,Books,Kolkata,Referral,Supplier_3,3140.95,5
O100254,2025-05-01,Clothing,Mumbai,Direct,Supplier_7,4221.18,5
O100255,2025-05-01,Books,Delhi,Referral,Supplier_8,3678.61,3
O100256,2025-05-01,Books,Bangalore,Search Engine,Supplier_11,2368.0,2
O100257,2025-05-01,Home & Kitchen,Delhi,Direct,Supplier_9,4555.19,4
O100258,2025-05-01,Home & Kitchen,Kolkata,Direct,Supplier_20,1583.3,1
O100259,2025-05-01,Electronics,Hyderabad,Social Media,Supplier_12,3794.52,1
O100260,2025-05-01,Electronics,Mumbai,Direct,Supplier_5,2422.64,3
O100261,2025-05-01,Clothing,Mumbai,Email,Supplier_1,4503.32,5
O100262,2025-05-01,Electronics,Bangalore,Referral,Supplier_14,4007.42,1
O100263,2025-05-01,Books,Mumbai,Referral,Supplier_3,4517.2,1
O100264,2025-05-01,Home & Kitchen,Kolkata,Social Media,Supplier_15,1149.81,2
O100265,2025-05-01,Electronics,Kolkata,Direct,Supplier_10,3373.94,1
O100266,2025-05-01,Electronics,Kolkata,Search Engine,Supplier_10,3718.47,1
O100267,2025-05-01,Clothing,Mumbai,Email,Supplier_3,3737.83,4
O100268,2025-05-01,Toys,Mumbai,Social Media,Supplier_6,2569.6,1
O100269,2025-05-01,Clothing,Kolkata,Direct,Supplier_5,155.13,4
O100270,2025-05-01,Books,Mumbai,Search Engine,Supplier_19,1381.01,5
O100271,2025-05-01,Home & Kitchen,Mumbai,Direct,Supplier_14,1684.17,2
O100272,2025-05-01,Clothing,Hyderabad,Social Media,Supplier_17,4274.98,1
O100273,2025-05-01,Electronics,Delhi,Search Engine,Supplier_12,4220.34,2
O100274,2025-05-01,Home & Kitchen,Chennai,Search Engine,Supplier_9,612.93,2
O100275,2025-05-01,Home & Kitchen,Mumbai,Search Engine,Supplier_3,4754.2,2
O100276,2025-05-01,Electronics,Chennai,Search Engine,Supplier_18,994.04,3
O100277,2025-05-01,Clothing,Chennai,Direct,Supplier_4,2130.36,4
O100278,2025-05-01,Electronics,Hyderabad,Search Engine,Supplier_14,1154.27,2
O100279,2025-05-01,Toys,Mumbai,Direct,Supplier_6,4315.63,5
O100280,2025-05-01,Home & Kitchen,Kolkata,Search Engine,Supplier_15,3772.07,1
O100281,2025-05-01,Beauty,Chennai,Search Engine,Supplier_17,1832.29,2
O100282,2025-05-01,Beauty,Mumbai,Social Media,Supplier_5,3441.21,2
O100283,2025-05-01,Books,Bangalore,Direct,Supplier_6,1003.4,1
O100284,2025-05-01,Electronics,Kolkata,Direct,Supplier_5,1973.26,5
O100285,2025-05-01,Electronics,Bangalore,Referral,Supplier_19,1947.83,2
O100286,2025-05-01,Books,Bangalore,Social Media,Supplier_14,1265.89,2
O100287,2025-05-01,Books,Chennai,Direct,Supplier_4,4393.93,5
O100288,2025-05-01,Books,Bangalore,Social Media,Supplier_5,3426.34,2
O100289,2025-05-01,Home & Kitchen,Hyderabad,Social Media,Supplier_11,1471.7,5
O100290,2025-05-01,Toys,Hyderabad,Social Media,Supplier_2,1286.39,2
O100291,2025-05-01,Electronics,Chennai,Email,Supplier_2,187.97,1
O100292,2025-05-01,Home & Kitchen,Mumbai,Direct,Supplier_20,1798.25,5
O100293,2025-05-01,Books,Delhi,Social Media,Supplier_12,2681.18,1
O100294,2025-05-01,Electronics,Mumbai,Email,Supplier_16,1460.78,1
O100295,2025-05-01,Home & Kitchen,Mumbai,Email,Supplier_17,3532.25,2
O100296,2025-05-01,Toys,Mumbai,Search Engine,Supplier_4,2117.57,5
O100297,2025-05-01,Home & Kitchen,Mumbai,Search Engine,Supplier_14,1649.96,3
O100298,2025-05-01,Toys,Kolkata,Direct,Supplier_7,4701.38,1
O100299,2025-05-01,Books,Delhi,Search Engine,Supplier_15,1387.72,1
O100300,2025-05-02,Toys,Kolkata,Direct,Supplier_16,2051.46,1
O100301,2025-05-02,Electronics,Bangalore,Email,Supplier_8,1973.22,2
O100302,2025-05-02,Books,Mumbai,Email,Supplier_2,1281.87,2
O100303,2025-05-02,Electronics,Hyderabad,Direct,Supplier_19,1165.64,1
O100304,2025-05-02,Beauty,Chennai,Search Engine,Supplier_1,1581.66,2
O100305,2025-05-02,Clothing,Chennai,Search Engine,Supplier_4,4334.76,2
O100306,2025-05-02,Toys,Kolkata,Direct,Supplier_11,3858.71,2
O100307,2025-05-02,Clothing,Kolkata,Referral,Supplier_10,3436.9,4
O100308,2025-05-02,Clothing,Hyderabad,Search Engine,Supplier_18,2339.8,5
O100309,2025-05-02,Toys,Mumbai,Social Media,Supplier_1,2587.99,2
O100310,2025-05-02,Books,Delhi,Search Engine,Supplier_17,1408.98,4
O100311,2025-05-02,Beauty,Bangalore,Referral,Supplier_16,464.15,4
O100312,2025-05-02,Electronics,Chennai,Email,Supplier_12,1722.1,2
O100313,2025-05-02,Home & Kitchen,Bangalore,Email,Supplier_16,2528.36,4
O100314,2025-05-02,Electronics,Delhi,Email,Supplier_9,380.83,3
O100315,2025-05-02,Home & Kitchen,Kolkata,Search Engine,Supplier_17,532.34,4
O100316,2025-05-02,Electronics,Chennai,Email,Supplier_3,1388.82,5
O100317,2025-05-02,Toys,Bangalore,Referral,Supplier_18,1898.69,4
O100318,2025-05-02,Beauty,Kolkata,Referral,Supplier_15,2027.25,2
O100319,2025-05-02,Home & Kitchen,Delhi,Search Engine,Supplier_15,677.64,1
O100320,2025-05-02,Books,Bangalore,Social Media,Supplier_16,1206.52,3
O100321,2025-05-02,Electronics,Mumbai,Search Engine,Supplier_20,1382.07,4
O100322,2025-05-02,Electronics,Kolkata,Email,Supplier_1,431.41,3
O100323,2025-05-02,Home & Kitchen,Delhi,Search Engine,Supplier_1,1697.89,5
O100324,2025-05-02,Books,Bangalore,Referral,Supplier_4,453.89,4
O100325,2025-05-02,Books,Mumbai,Search Engine,Supplier_13,3546.94,4
O100326,2025-05-02,Toys,Mumbai,Search Engine,Supplier_4,1991.63,3
O100327,2025-05-02,Toys,Delhi,Social Media,Supplier_8,1701.09,4
O100328,2025-05-02,Toys,Hyderabad,Referral,Supplier_13,719.96,4
O100329,2025-05-02,Toys,Chennai,Direct,Supplier_8,1209.87,1
O100330,2025-05-02,Toys,Delhi,Direct,Supplier_14,1240.26,3
O100331,2025-05-02,Toys,Mumbai,Referral,Supplier_1,4927.5,2
O100332,2025-05-02,Beauty,Mumbai,Direct,Supplier_9,4193.21,2
O100333,2025-05-02,Books,Delhi,Email,Supplier_1,174.79,5
O100334,2025-05-02,Toys,Hyderabad,Direct,Supplier_7,3122.5,1
O100335,2025-05-02,Books,Chennai,Email,Supplier_20,1353.96,3
O100336,2025-05-02,Books,Bangalore,Referral,Supplier_13,611.45,3
O100337,2025-05-02,Clothing,Delhi,Direct,Supplier_15,3557.44,1
O100338,2025-05-02,Beauty,Chennai,Direct,Supplier_9,744.87,1
O100339,2025-05-02,Toys,Chennai,Email,Supplier_16,2274.33,5
O100340,2025-05-02,Electronics,Kolkata,Email,Supplier_17,3197.61,2
O100341,2025-05-02,Home & Kitchen,Mumbai,Search Engine,Supplier_9,2817.02,3
O100342,2025-05-02,Electronics,Bangalore,Social Media,Supplier_6,4890.38,1
O100343,2025-05-02,Beauty,Delhi,Direct,Supplier_20,3950.14,3
